Abandonnées au profit des téléphones portables, les célèbres cabines britanniques;Abandoned in favour of mobile phones, Britain's iconic red phone boxes;Il faut garder ”abandonner” pour la métaphore de l'adoption
sont proposées à l’adoption pour une livre sterling symbolique;are now being put up for adoption for the price of one symbolic pound;
et réutilisées par les communautés de tout le pays. ;and given new uses by communities across the country.;
Bibliothèques, cafés, boîtes de nuit…  les acquéreurs rivalisent d’idées pour les réhabiliter.  ;Libraries, cafés, nights clubs… buyers are jostling with ideas to repurpose them.;La phrase française est syntaxiquement incorrecte. ”Vying for ideas”, qui était mon premier jet, ne me paraît pas correct : les acquéreurs ne se battent pas pour avoir des idées, mais ils en ont tous beaucoup, **avec** lesquelles ils se battent. 
Un matin de 2006, les habitants de Soho, quartier branché et central de Londres,;One morning in 2006, the inhabitants of Soho, a trendy neighbourhood in the centre of London,;
 se réveillent face à un drôle de meurtre. ;woke up to a peculiar murder scene.;Présent anglais impossible.
Sous leurs fenêtres gît une cabine téléphonique courbée en deux,;Below their windows, lay a phone box bent in two;
une pioche férocement plantée dans sa porte, qui dégouline de peinture rouge. ;with a pickaxe savagely stabbed into the door, oozing with red paint.;
L’œuvre, « Mort d’une cabine téléphonique », est signée Banksy;The art work, ”Death Of A Phone Booth”, signed by Banksy,;
et semble symboliser la fin d’une certaine manière de communiquer.  ;appeared to symbolise the demise of a certain way of communicating.;
En effet, à l’heure où neuf adultes sur dix ont un téléphone portable au Royaume-Uni,;At a time with nine out of ten adults in the UK own a mobile phone, ;
l’avenir de ces sympathiques habitacles semble compromis. ;the future of these friendly booths does look compromised. ;”Does look” pour traduire ”en effet”, et confirmer l'idée du paragraphe précédent
Il n’en reste aujourd’hui que 21 000 dans le pays, contre plus de 70 000 dans les années 80,;Only 21,000 of them remain in the country, compared to more than 70,000 in the 1980s ;
et les évolutions technologiques voudraient qu’ils soient peu à peu remplacés par des bornes wi-fi et autres bancs connectés.;and it would seem that technological developments are slowly but surely replacing them with wifi hotspots and other such smart benches.;Très embêtants, ce ”voudrait” et ces ”bancs connectés”… 
